                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.66461,                0.34349,                 1.9941,                0.99285,                0.98874,                0.99474,                0.96435,                0.55174,                0.31638,                 1.9005,             0.00038211,             0.00038211,             0.00038211
                     76,                0.66747,                0.34587,                 1.9907,                 0.9906,                0.98827,                0.99183,                0.96091,                0.56005,                0.41167,                 1.9043,             0.00036797,             0.00036797,             0.00036797
                     77,                0.65772,                0.34478,                 1.9875,                0.98869,                0.98835,                0.99416,                0.96402,                0.54814,                0.37678,                 1.8986,             0.00035382,             0.00035382,             0.00035382
                     78,                0.66197,                0.34236,                 1.9895,                0.99415,                0.98921,                0.99454,                0.96524,                0.53945,                0.33749,                 1.8979,             0.00033967,             0.00033967,             0.00033967
                     79,                0.65346,                0.34265,                 1.9854,                0.99363,                0.99157,                0.99484,                0.96362,                0.55581,                0.25325,                 1.9096,             0.00032553,             0.00032553,             0.00032553
                     80,                 0.6601,                0.33943,                 1.9874,                0.99419,                0.98651,                0.99462,                0.96509,                0.55651,                 0.3253,                 1.9064,             0.00031138,             0.00031138,             0.00031138
                     81,                0.65422,                0.34275,                 1.9917,                 0.9927,                0.98289,                0.99323,                0.96315,                0.54435,                0.45268,                 1.9047,             0.00029723,             0.00029723,             0.00029723
                     82,                0.65008,                 0.3388,                 1.9907,                0.98687,                0.98136,                0.99164,                0.96325,                0.53928,                0.50954,                 1.8961,             0.00028308,             0.00028308,             0.00028308
                     83,                  0.644,                0.33798,                 1.9872,                0.97973,                0.97554,                0.99178,                0.96231,                0.54043,                0.51973,                 1.8961,             0.00026894,             0.00026894,             0.00026894
                     84,                0.63871,                0.32938,                 1.9831,                 0.9892,                0.98703,                0.99416,                0.96558,                0.54128,                 0.4038,                 1.9017,             0.00025479,             0.00025479,             0.00025479
                     85,                0.64413,                0.32739,                 1.9811,                0.99314,                0.98597,                0.99463,                0.96781,                0.53705,                0.34495,                 1.9006,             0.00024064,             0.00024064,             0.00024064
                     86,                0.64426,                0.32991,                 1.9898,                0.98198,                0.99112,                0.99459,                0.96631,                0.53442,                0.35183,                 1.8994,              0.0002265,              0.0002265,              0.0002265
                     87,                0.63077,                0.32505,                 1.9793,                0.98816,                0.98583,                0.99437,                 0.9649,                0.53858,                0.38431,                 1.9016,             0.00021235,             0.00021235,             0.00021235
                     88,                0.63264,                0.32193,                 1.9713,                0.98826,                0.98809,                0.99409,                 0.9642,                0.53958,                0.40932,                 1.9009,              0.0001982,              0.0001982,              0.0001982
                     89,                0.62447,                0.31716,                 1.9692,                0.98787,                0.99012,                0.99434,                0.96674,                0.53422,                0.40293,                 1.9001,             0.00018406,             0.00018406,             0.00018406
                     90,                0.62388,                0.32378,                 1.9726,                0.98956,                 0.9903,                0.99475,                0.96573,                0.53128,                0.33943,                 1.9045,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.7705,                0.31162,                  2.262,                0.98802,                0.98559,                0.99357,                0.96285,                 0.5315,                0.45076,                 1.9029,             0.00015576,             0.00015576,             0.00015576
                     92,                0.76404,                0.29416,                 2.2569,                0.99028,                0.99257,                 0.9947,                0.96385,                0.54786,                0.34067,                 1.9116,             0.00014161,             0.00014161,             0.00014161
                     93,                0.73676,                0.27808,                 2.2093,                0.99138,                0.98982,                0.99486,                0.96299,                0.54164,                0.30207,                 1.9074,             0.00012747,             0.00012747,             0.00012747
                     94,                0.73888,                0.28009,                 2.2095,                0.99294,                0.98808,                 0.9947,                0.96509,                0.53599,                0.32905,                 1.9037,             0.00011332,             0.00011332,             0.00011332
                     95,                0.73245,                 0.2818,                 2.2034,                 0.9879,                 0.9912,                0.99448,                 0.9627,                 0.5505,                0.42142,                 1.9185,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.72962,                0.27741,                 2.2079,                0.98894,                0.99028,                0.99438,                0.96635,                0.54382,                0.38513,                 1.9013,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.71533,                0.27022,                 2.1915,                0.99097,                0.98829,                0.99412,                0.96378,                0.54301,                0.42992,                 1.9024,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.71883,                0.26834,                 2.1879,                0.98525,                 0.9867,                0.99385,                0.96541,                0.54322,                0.46726,                 1.9002,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.71958,                0.26937,                 2.1893,                0.99128,                0.97941,                 0.9936,                0.96568,                 0.5389,                  0.493,                 1.9013,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.71393,                0.26442,                 2.1806,                0.99038,                 0.9845,                0.99412,                0.96642,                0.53478,                0.45362,                  1.899,             2.8437e-05,             2.8437e-05,             2.8437e-05
